prospect_id,company_name,email,phone,website,city,country,industry,tier,team_size,source,email_verification,date_added,notes
OSM-1788444308-0016,C. Buhler & Associates Ltd. - Licensed Insolvency Trustee,hello@debtfreenorth.com,+1 204-819-4141,https://debtfreenorth.com/locations/winnipeg/,Winnipeg,CA,financial-services,1,,osm_overpass,mx_only_generic_guess,2026-09-03,osm-discovery | domain=debtfreenorth.com | office=financial_advisor
OSM-1788444308-0017,Cascade Financial Group,hello@cascadefinancialgroup.com,+12048371161,https://www.cascadefinancialgroup.com/,Winnipeg,CA,financial-services,1,,osm_overpass,mx_only_generic_guess,2026-09-03,osm-discovery | domain=cascadefinancialgroup.com | office=financial_advisor
OSM-1788444308-0018,SOLE Financial,hello@solefinancial.ca,,https://www.solefinancial.ca,Winnipeg,CA,financial-services,1,,osm_overpass,mx_only_generic_guess,2026-09-03,osm-discovery | domain=solefinancial.ca | office=financial_advisor
OSM-WS-1788444260-0000,T2inc.ca,hello@t2inc.ca,,https://t2inc.ca/,Montreal,CA,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=t2inc.ca
OSM-WS-1788444261-0001,Bookkeeping MTL,,,https://www.bookkeepingmtl.ca/,Montreal,CA,accounting,1,,osm_overpass+web_search,,2026-09-03,web_search-discovery | domain=bookkeepingmtl.ca
OSM-WS-1788444261-0002,Square Accounting,hello@squareaccounting.com,,https://squareaccounting.com/,Montreal,CA,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=squareaccounting.com
OSM-WS-1788444261-0003,M&R Bookkeeping and Accounting,info@booksmr.ca,514-534-0303,https://booksmr.ca/,Montreal,CA,accounting,1,,osm_overpass+web_search,web_search_direct,2026-09-03,web_search-discovery | domain=booksmr.ca
OSM-WS-1788444261-0004,Accounting Montreal,hello@accountingmontreal.ca,,https://accountingmontreal.ca/,Montreal,CA,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=accountingmontreal.ca
OSM-WS-1788444261-0005,Accotax,hello@accotax.ca,,https://accotax.ca/,Montreal,CA,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=accotax.ca
OSM-WS-1788444262-0006,786 Venture CPA,hello@786vcpa.ca,844-786-8272,https://786vcpa.ca/,Calgary,CA,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=786vcpa.ca
OSM-WS-1788444262-0007,KD Professional Services,hello@kdprofessional.ca,403-219-0602,https://kdprofessional.ca/,Calgary,CA,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=kdprofessional.ca
OSM-WS-1788444262-0008,Focus LLP,hello@focusllp.ca,,https://www.focusllp.ca/,Calgary,CA,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=focusllp.ca
OSM-WS-1788444262-0009,Versatile Accounting Calgary,hello@versatileaccounting.ca,,https://www.versatileaccounting.ca/,Calgary,CA,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=versatileaccounting.ca
OSM-WS-1788444263-0010,SAR Professional Corporation,hello@saraccounting.com,,https://saraccounting.com/,Calgary,CA,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=saraccounting.com
OSM-WS-1788444263-0011,Geib and Company,hello@geibco.com,,https://geibco.com,Calgary,CA,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=geibco.com
OSM-WS-1788444263-0012,Plug CPA,hello@plugcpa.com,,https://plugcpa.com/,Ottawa,CA,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=plugcpa.com
OSM-WS-1788444264-0013,HAT Accounting,hello@hataccounting.com,,https://www.hataccounting.com/,Ottawa,CA,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=hataccounting.com
OSM-WS-1788444264-0014,Numertica City,hello@numetricacity.ca,,https://www.numetricacity.ca/,Ottawa,CA,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=numetricacity.ca
OSM-WS-1788444264-0015,Ottawa Bookkeeping,hello@ottawabookkeeping.ca,,https://ottawabookkeeping.ca/,Ottawa,CA,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=ottawabookkeeping.ca
OSM-WS-1788444264-0016,WITH Accounting,hello@withaccounting.com.au,,https://www.withaccounting.com.au/,Melbourne,AU,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=withaccounting.com.au
OSM-WS-1788444266-0017,Ample Finance,hello@amplefinance.com.au,,https://www.amplefinance.com.au/,Melbourne,AU,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=amplefinance.com.au
OSM-WS-1788444266-0018,DMY Accounting,,,https://www.dmyaccounting.com.au/,Melbourne,AU,accounting,1,,osm_overpass+web_search,,2026-09-03,web_search-discovery | domain=dmyaccounting.com.au
OSM-WS-1788444267-0019,Wiselink Accountants,hello@wiselinkaccountants.com.au,03 9600 0803,https://wiselinkaccountants.com.au/,Melbourne,AU,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=wiselinkaccountants.com.au
OSM-WS-1788444267-0020,Linc Accountants,hello@lincaccountants.com.au,,https://www.lincaccountants.com.au/,Brisbane,AU,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=lincaccountants.com.au
OSM-WS-1788444267-0021,Darcy Bookkeeping & Business Services,hello@darcyservices.com.au,,https://www.darcyservices.com.au/,Brisbane,AU,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=darcyservices.com.au
OSM-WS-1788444268-0022,DPS Accounting,hello@dpsaccounting.com.au,,https://www.dpsaccounting.com.au/,Perth,AU,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=dpsaccounting.com.au
OSM-WS-1788444268-0023,Carbon Group Adelaide,hello@carbongroup.com.au,,https://carbongroup.com.au/location/sa/adelaide/,Adelaide,AU,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=carbongroup.com.au
OSM-WS-1788444268-0024,P and A Accountants,,,https://www.pandaa.com.au/,Adelaide,AU,accounting,1,,osm_overpass+web_search,,2026-09-03,web_search-discovery | domain=pandaa.com.au
OSM-WS-1788444269-0025,The Kalculators,hello@thekalculators.com.au,,https://www.thekalculators.com.au/,Adelaide,AU,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=thekalculators.com.au
OSM-WS-1788444269-0026,Sigma Chartered Accountants,hello@sigmaaccountants.co.uk,,https://www.sigmaaccountants.co.uk/,Birmingham,GB,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=sigmaaccountants.co.uk | gdpr_review
OSM-WS-1788444270-0027,Naseems Accountants,hello@naseems.co.uk,0121-771-4161,https://www.naseems.co.uk/,Birmingham,GB,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=naseems.co.uk | gdpr_review
OSM-WS-1788444270-0028,SF Accountants,hello@sfaccountants.co.uk,,https://sfaccountants.co.uk/,Birmingham,GB,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=sfaccountants.co.uk | gdpr_review
OSM-WS-1788444270-0029,Bayliss & Co,,0121-428-2884,https://www.baylissandco.co.uk/,Birmingham,GB,accounting,1,,osm_overpass+web_search,,2026-09-03,web_search-discovery | domain=baylissandco.co.uk | gdpr_review
OSM-WS-1788444271-0030,SKN Chartered Accountants,,0121-551-7626,https://www.sknaccountants.co.uk/,Birmingham,GB,accounting,1,,osm_overpass+web_search,,2026-09-03,web_search-discovery | domain=sknaccountants.co.uk | gdpr_review
OSM-WS-1788444272-0031,Bond Chartered Accountants,hello@bondca.co.uk,0131-557-5500,https://www.bondca.co.uk/,Edinburgh,GB,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=bondca.co.uk | gdpr_review
OSM-WS-1788444272-0032,Gibson McKerrell Brown,,0131-228-8319,https://www.gmbaccountants.co.uk/,Edinburgh,GB,accounting,1,,osm_overpass+web_search,,2026-09-03,web_search-discovery | domain=gmbaccountants.co.uk | gdpr_review
OSM-WS-1788444272-0033,One Accounting Edinburgh,,0131-220-0152,https://www.oneaccountingedinburgh.co.uk/,Edinburgh,GB,accounting,1,,osm_overpass+web_search,,2026-09-03,web_search-discovery | domain=oneaccountingedinburgh.co.uk | gdpr_review
OSM-WS-1788444272-0034,Facts & Figures,info@factsandfigures.co.uk,0131-221-0330,https://factsandfigures.co.uk/,Edinburgh,GB,accounting,1,,osm_overpass+web_search,web_search_direct,2026-09-03,web_search-discovery | domain=factsandfigures.co.uk | gdpr_review
OSM-WS-1788444272-0035,Forever Accounting,info@foreveraccounts.com,07401573823,https://foreveraccounts.com/,Glasgow,GB,accounting,1,,osm_overpass+web_search,web_search_direct,2026-09-03,web_search-discovery | domain=foreveraccounts.com | gdpr_review
OSM-WS-1788444273-0036,Sutherland Black,hello@sutherlandblack.co.uk,0141-432-3045,https://www.sutherlandblack.co.uk/,Glasgow,GB,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=sutherlandblack.co.uk | gdpr_review
OSM-WS-1788444273-0037,Charm Accountants Bristol,hello@charmaccountants.com,,https://www.charmaccountants.com/bristol/,Bristol,GB,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=charmaccountants.com | gdpr_review
OSM-WS-1788444273-0038,Accountants Book Leeds,hello@accountantsbook.co.uk,,https://www.accountantsbook.co.uk/leeds,Leeds,GB,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=accountantsbook.co.uk | gdpr_review
OSM-WS-1788444274-0039,Mergix Accounting & Tax,hello@mergixaccounting.com,,https://mergixaccounting.com/,Denver,US,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=mergixaccounting.com
OSM-WS-1788444274-0040,Drexler & Associates,hello@drexlertax.com,,https://drexlertax.com/,Denver,US,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=drexlertax.com
OSM-WS-1788444274-0041,Gheen & Co,hello@cpa-firm-denver.com,,https://cpa-firm-denver.com/,Denver,US,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=cpa-firm-denver.com
OSM-WS-1788444275-0042,Cornerstone CPA Group,hello@dencpa.com,,https://www.dencpa.com/,Denver,US,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=dencpa.com
OSM-WS-1788444276-0043,O'Connor CPA Firm,hello@oconnorcpafirm.com,,https://www.oconnorcpafirm.com/,Denver,US,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=oconnorcpafirm.com
OSM-WS-1788444276-0044,Team 80,hello@team-80.com,,https://team-80.com/,Denver,US,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=team-80.com
OSM-WS-1788444276-0045,Accountingprose,hello@accountingprose.com,,https://www.accountingprose.com/,Denver,US,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=accountingprose.com
OSM-WS-1788444277-0046,4Corner Business Services,hello@4corners.com,,https://4corners.com/,Denver,US,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=4corners.com
OSM-WS-1788444277-0047,Shields Tax & CPA,hello@shieldstaxcpa.com,,https://www.shieldstaxcpa.com/,Portland,US,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=shieldstaxcpa.com
OSM-WS-1788444278-0048,Minneapolis CPA Services,,,https://www.minneapoliscpa.com/,Minneapolis,US,accounting,1,,osm_overpass+web_search,,2026-09-03,web_search-discovery | domain=minneapoliscpa.com
OSM-WS-1788444278-0049,Atlanta CPA Firm,hello@atlantacpa.com,,https://www.atlantacpa.com/,Atlanta,US,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=atlantacpa.com
OSM-WS-1788444278-0050,Miami Accounting Services,hello@miamiaccounting.com,,https://www.miamiaccounting.com/,Miami,US,accounting,1,,osm_overpass+web_search,mx_only_generic_guess,2026-09-03,web_search-discovery | domain=miamiaccounting.com
