id,domain,emails_found,people_found,chosen_email
OSM-1788373380-0036,arthurfox.com,,[],
OSM-1788373380-0037,goldcrestcpa.com,info@goldcrestcpa.com,[],info@goldcrestcpa.com
OSM-1788373380-0038,mckinsey.com,,[],
OSM-1788373380-0039,oberlanderandco.com,team@oberlanderandco.com,[],team@oberlanderandco.com
OSM-1788373380-0041,lupotaxservices.com,,[],
OSM-1788373380-0043,pwcpa.com,info@pwcpa.com,[],info@pwcpa.com
OSM-1788373380-0044,d7m.tg,,[],
OSM-1788373380-0045,maagoncpa.com,,[],
OSM-1788373380-0047,parkslopetaxes.com,info@parkslopetaxes.com; kevin@parkslopetaxes.com,[],kevin@parkslopetaxes.com
OSM-1788373380-0048,andwalsh.com,,"[{'first': 'Director', 'last': 'Jessica', 'context': '""title"": ""Creative Director Jessica Walsh honored with 2024 D&AD President’s Award"",'}, {'first': 'Art', 'last': 'Director', 'context': '""title"": ""&Walsh Art Director, Lucas Luz, speaks at OFFMX 2024 Conference"",'}]",
OSM-1788373380-0050,rojascenter.com,,[],
OSM-1788373380-0051,malk.com,,"[{'first': 'Founder', 'last': 'Chairman', 'context': 'Founder and Executive Chairman'}, {'first': 'Founder', 'last': 'Chairman<br>', 'context': 'Founder and Executive Chairman<br>'}, {'first': 'Senior', 'last': 'President', 'context': 'Senior Vice President - Multi-Strategy'}]",
OSM-1788373385-0052,westernasset.com,,[],
OSM-1788373385-0056,daddydon.com,,[],
OSM-1788373385-0058,konnectagency.com,,"[{'first': 'Brands', 'last': 'With', 'context': 'Brands We Partner With      </h2>'}]",
OSM-1788373385-0059,help4taxproblems.com,,[],
OSM-1788373385-0060,ageoftechnologyca.com,,[],
OSM-1788373385-0061,paradigmbookkeepingtax.com,,[],
OSM-1788373385-0063,glendalemarketing.com,,[],
OSM-1788373385-0064,mgac.com,,[],
OSM-1788373385-0065,jcptaxservices.com,,[],
OSM-1788373385-0068,prhollywood.com,contact@prhollywood.com,[],contact@prhollywood.com
OSM-1788373385-0069,abrightideaonline.com,,[],
OSM-1788373385-0071,andava.com,hello@andava.com,[],hello@andava.com
OSM-1788373385-0074,altago.com,,[],
OSM-1788373385-0078,tagtimeusa.com,,[],
OSM-1788373385-0080,aokoousa.com,email.alanwen@aokoousa.com,[],email.alanwen@aokoousa.com
OSM-1788373385-0082,walia.us,,[],
OSM-1788373385-0084,brandlin.com,,"[{'first': 'President', 'last': 'Founder', 'context': 'President &amp; Founder    </p>'}, {'first': 'Managing', 'last': 'Director', 'context': 'Managing Director    </p>'}]",
OSM-1788373385-0088,steentax.com,,[],
OSM-1788373486-0089,kucera-cpa.com,,[],
OSM-1788373486-0090,thisispg.com,,[],
OSM-1788373486-0091,houstontaxfiling.com,,[],
OSM-1788373486-0092,csaccountingandtaxservices.com,,[],
OSM-1788373486-0093,tax-ability.com,,[],
OSM-1788373486-0095,webtheorydesigns.com,,[],
OSM-1788373486-0096,monatshirt.com,info@monatshirt.com,[],info@monatshirt.com
OSM-1788373486-0099,improving.com,sales@improving.com,[],sales@improving.com
OSM-1788373486-0102,asmgsolutions.com,,[],
OSM-1788373486-0104,crmdigitalinc.com,,[],
OSM-1788373486-0105,gurrolareprographics.com,,[],
OSM-1788373486-0108,1ffc.com,,[],
OSM-1788373503-0109,joevpalmerltdcpa.com,,[],
OSM-1788373503-0110,enlaceaz.com,,[],
OSM-1788373503-0111,kitchensinkstudios.com,,[],
OSM-1788373503-0113,farnamfinancial.com,,[],
OSM-1788373503-0114,lindowcpa.com,info@lindowcpa.com; ken@lindowcpa.com,[],ken@lindowcpa.com
OSM-1788373503-0115,jsprobookkeepingservicesl-l-c.voolt.com,,[],
OSM-1788373503-0116,waypointcreative.com,,"[{'first': 'WAYPOINT', 'last': 'YOUR', 'context': '<h2>WITH WAYPOINT AS YOUR BRANDING &amp; DIGITAL MARKETING PARTNER</h2></div>'}]",
OSM-1788373503-0119,structuralgrace.com,,"[{'first': 'Executive', 'last': 'President', 'context': 'Executive Vice President,<br>Transportation Planning &amp; Design<br>West\t\t\t\t\t\t</div>'}, {'first': 'Senior', 'last': 'President', 'context': 'Senior Vice President,<br>Canada Operations\t\t\t\t\t\t</div>'}, {'first': 'Executive', 'last':",
